Customer ID,Name,Salary,Onbaord Date,Client Company
FJM11LVL6XD,Iola Hampton,"$4,642.02 ",18-Feb-24,Arcu Imperdiet Associates
QLS80XYT5WO,Oleg Dean,"$2,103.95 ",17-Apr-22,Consectetuer Mauris PC
VKW88HUE6DH,Sade Wynn,"$2,653.29 ",05-Dec-23,Consectetuer Foundation
NKV85GGC6VU,Octavia Fernandez,"$6,072.00 ",05-Jun-23,Penatibus Industries
RYT50EXB8PP,Rafael Boyle,"$3,616.90 ",16-Aug-22,Vel Sapien Imperdiet Corporation
GGX62UYE4TR,Jermaine Bowman,"$6,789.55 ",03-Dec-22,Vitae Institute
JJF20HFL2XS,Mikayla Heath,"$5,395.04 ",04-Dec-22,Vel Arcu Curabitur Incorporated
SSE22HZN1LL,Fiona Sims,"$6,490.82 ",24-Mar-22,Tellus Eu Ltd
BKM22MRG2CM,Kennedy Hardy,"$1,338.95 ",06-May-23,Nulla Aliquet Proin Limited
RUO80XVT7CG,Zeus Cooper,"$5,377.49 ",01-Jan-23,Facilisis Lorem Tristique LLC
YRH62IJL1WS,Jacqueline Yates,"$9,645.53 ",17-Oct-23,Porttitor Interdum Ltd
SHD42LTM8MR,Quentin Levine,"$2,563.28 ",18-Feb-23,Et Ipsum Associates
EEN27PHC4RQ,Phelan Morin,"$7,860.85 ",22-May-22,Urna Vivamus Corporation
ADI38JNO2RK,Evan Nolan,"$3,156.39 ",13-May-22,Sit Corp.
VMS73PNF0CM,Yael Wiley,"$5,759.27 ",21-Dec-23,Enim Incorporated
WKW53KCN2FB,Randall Doyle,"$7,638.14 ",20-Mar-23,Tellus Suspendisse LLC
TGQ87KZO3UJ,Yuri Guthrie,"$6,303.45 ",15-Jan-24,Erat Vivamus Foundation
VBK52WNI6MW,Tate Schmidt,"$6,245.01 ",22-Dec-23,Tincidunt Congue Incorporated
LIR90FEE0RX,Andrew Lara,"$8,710.81 ",24-Mar-22,A Tortor Nunc Institute
ZAE83MDS9YZ,Cally White,"$9,141.51 ",11-Sep-22,Vel Quam Institute
PGB86JIN8GB,Ora Lester,"$8,408.85 ",08-Nov-23,Cras Sed Corporation
PFK13CHM4GL,Tamara Avila,"$4,087.09 ",15-Jun-22,Vivamus Euismod Institute
CRF60DBJ3FB,Carissa Manning,"$8,585.90 ",07-Apr-23,Diam Incorporated
WZW80UJV8QP,Dane Frederick,"$3,981.25 ",09-Nov-23,Euismod Mauris Limited
YSL35YTC6CD,August Stephenson,"$9,326.74 ",19-Jan-23,Morbi Sit LLP
JVQ46QKS7MY,Rama Alexander,"$7,232.93 ",24-Jul-23,Quis Tristique Corporation
NOV88KEI1HN,Leslie Silva,"$8,838.36 ",04-Oct-23,Felis Consulting
WZB15UQV3QI,Jaquelyn Vance,"$1,060.79 ",11-Dec-23,Elit Pede Malesuada Industries
MBZ28EPY6AE,Sylvester Golden,"$4,263.72 ",07-Nov-23,Ornare Ltd
WMR74LSC2YU,Lila Hodges,"$6,168.00 ",08-Apr-23,Vitae Posuere Institute
YVG67RLX5MN,Kitra Gilbert,"$3,802.07 ",18-Apr-22,Diam Dictum Sapien LLP
UAZ06XYB3XO,Quentin Farley,"$8,198.37 ",30-Mar-22,Suspendisse Tristique Corp.
UJN32BPS3JN,Nash Vance,"$6,521.69 ",11-Jun-23,Eu Tempor Erat Associates
WHT93MMK5YX,Mira Paul,"$6,270.19 ",09-Apr-23,Molestie Arcu Sed Ltd
WWZ36BKI5PZ,Connor Gallegos,"$7,950.32 ",28-Oct-23,Metus PC
DVV84LOC1CT,Upton Tillman,"$7,534.41 ",10-Aug-22,Erat Eget Limited
DRA01OKI7UR,Oren Walsh,"$7,743.85 ",18-Feb-24,A Enim Suspendisse Industries
TED12MMC7LW,Kennedy Savage,"$2,249.97 ",24-Jul-22,Fermentum Vel LLC
SVN44PED2CD,Vaughan Jefferson,"$2,257.69 ",31-Mar-23,In Corp.
KXF52PSM8QB,Regan Wilkerson,"$4,657.32 ",13-Nov-23,Nullam Velit PC
QGY52WVB3TE,Upton Callahan,"$8,363.58 ",19-Aug-22,Ut Cursus Institute
XJU05RBJ3YS,Mariko Stuart,"$5,925.99 ",28-Jul-22,Aenean Ltd
GPP88EHQ6UF,Benjamin Dean,"$1,667.88 ",03-Jun-23,Gravida Sagittis Duis Corp.
BSG42BSJ7VW,Yuli Pennington,"$5,587.76 ",10-Nov-22,At Velit Corporation
