Customer ID,Name,Salary,Onbaord Date,Client Company
BTB42XSM8BR,Reed Cline,"$2,719.56 ",16-Aug-22,Habitant Morbi Corporation
QNN33SBC9YG,Oleg Tillman,"$3,691.13 ",14-Jan-23,At Risus Limited
HSV63XIV5VU,Camden Melton,"$2,295.12 ",08-Jul-22,Orci PC
XBM71JQN3YT,Lance Mullen,"$2,075.92 ",23-Aug-22,Hendrerit Consectetuer Corporation
IMR42NSY6QC,Ethan Mcguire,"$2,185.04 ",10-Jul-23,Libero Ltd
QBS68SFF6ET,George Levine,"$3,221.63 ",17-Mar-23,Arcu Incorporated
HCN55KGU3FK,Branden Horne,"$4,995.02 ",05-Sep-23,Ipsum Ac Institute
XRN15SJE6UL,Noah Montgomery,"$1,327.04 ",11-Jul-23,Interdum Limited
SSE79BJJ6MY,Alisa Villarreal,"$4,153.78 ",22-Aug-23,Nec Quam Curabitur Institute
MLO75TBE4EE,Claire Frederick,"$1,081.13 ",01-Nov-22,Mollis LLC
NDR47LUJ5XQ,Elmo Chaney,"$3,378.33 ",24-Jun-23,Nunc Quisque Inc.
HEU63WEI6ML,Alden Gutierrez,"$3,333.50 ",10-Sep-22,Nec Luctus Corporation
WKF38WSG2OQ,Cally Newton,"$3,884.92 ",03-Jul-23,Interdum Feugiat Industries
TPC11FCI3UG,Breanna Barrera,"$3,870.14 ",20-Sep-23,Nullam Inc.
IJB64BYY8HF,Unity Soto,"$1,156.15 ",05-Aug-22,Vitae Mauris Sit Institute
GEN77HSR8JL,Haley Burch,"$2,743.72 ",16-Jul-22,Natoque Foundation
XNW84ZUH9SB,Avye Williamson,"$4,041.69 ",27-Sep-23,In Nec Orci Limited
ZCV69TLV3XM,Kibo Clayton,"$2,512.47 ",12-Sep-23,Integer Mollis Foundation
XLU79QKK0RL,Lara Bray,"$2,335.66 ",28-Jun-23,Convallis Convallis PC
AQH70VYL5PU,Destiny Cote,"$1,218.39 ",22-Aug-23,Adipiscing Fringilla PC
OCY27NJR5SM,Miranda Weaver,"$1,594.90 ",03-Aug-23,Mi Lacinia Inc.
CDL81WLB8SD,Francesca Sexton,"$4,359.30 ",21-Aug-22,Cubilia Curae LLP
BWO44ISP6CI,Devin Barton,"$3,462.95 ",26-Jul-23,Et Foundation
WLM75KXG3KM,Noelani Salas,"$1,999.93 ",18-Nov-22,In Dolor Ltd
PYD45DNY5HM,Hilda Hurley,"$2,697.46 ",08-Sep-23,Nisi Cum Corporation
